"PUBID","FP_ADHRISKI","FP_ADPENVRI","FP_ADENRCHI"
772,100,0,3
773,-4,-4,3
774,-4,-4,-4
775,-4,-4,-4
776,-4,-4,3
777,-4,-4,3
778,225,0,2
779,-4,-4,-4
780,300,0,2
781,-4,-4,-4
782,0,-4,3
783,100,-4,3
784,-4,-4,-4
785,0,0,3
786,-4,-4,-4
787,100,0,2
788,0,0,3
789,-4,-4,-4
790,500,100,1
791,100,0,3
792,-4,-4,-4
793,100,100,2
794,0,0,3
795,-4,-4,-4
796,0,0,2
797,-4,-4,-4
798,200,100,1
799,-4,-4,-4
800,200,0,2
801,0,0,2
802,100,0,1
803,-4,-4,-4
804,-4,-4,-4
805,-4,-4,-4
806,200,200,1
807,800,300,2
808,700,300,0
809,-4,-4,-4
810,-4,-4,-4
811,-4,-4,-4
812,-4,-4,2
813,-4,-4,-4
814,325,125,2
815,-4,-4,-4
816,800,500,1
817,325,200,1
818,-4,-4,-4
819,-4,-4,-4
820,100,100,3
821,-4,-4,-4
822,-4,-4,-4
823,100,0,1
824,-4,-4,-4
825,-4,-4,1
826,-4,-4,-4
827,0,0,2
828,500,200,1
829,0,0,2
830,200,100,2
831,100,200,2
832,400,100,2
833,300,200,2
834,0,100,2
835,-4,-4,2
836,-4,-4,-4
837,-4,-4,-4
838,-4,-4,-4
839,-4,-4,-4
840,0,200,2
841,0,100,2
842,100,0,2
843,-4,-4,-4
844,100,100,2
845,-4,-4,-4
846,-4,-4,-4
847,500,400,2
848,700,500,2
849,-4,-4,-4
850,-4,-4,-4
851,325,500,2
852,325,200,2
853,300,200,2
854,100,100,3
855,-4,-4,-4
856,-4,-4,-4
857,-4,-4,-4
858,100,100,2
859,0,0,2
860,100,0,3
861,-4,-4,2
862,-4,-4,-4
863,100,100,1
864,525,0,1
865,0,0,3
866,-4,-4,1
867,325,0,1
868,100,100,2
869,-4,-4,1
870,0,100,2
871,300,0,1
872,325,0,1
873,100,0,2
874,0,0,2
875,425,100,1
876,0,0,2
877,-4,-4,-4
878,-4,-4,1
879,-4,-4,-4
880,-4,-4,-4
881,300,0,1
882,425,100,1
883,100,100,2
884,-4,-4,-4
885,300,200,1
886,0,0,2
887,0,0,2
888,-4,-4,-4
889,-4,-4,2
890,-4,-4,-4
891,-4,-4,1
892,-4,-4,1
893,-4,-4,-4
894,0,100,3
895,0,100,3
896,550,-4,3
897,0,0,2
898,200,0,2
899,-4,-4,-4
900,0,0,2
901,0,0,3
902,-4,-4,-4
903,-4,-4,-4
904,875,-4,1
905,600,300,1
906,675,250,1
907,475,-4,1
908,400,400,2
909,500,400,0
910,-4,-4,-4
911,-4,-4,3
912,-4,-4,-4
913,0,0,2
914,100,0,2
915,-4,-4,-4
916,100,0,2
917,100,0,2
918,-4,-4,-4
919,0,0,2
920,-4,-4,-4
921,200,200,2
922,200,100,2
923,-4,-4,-4
924,200,100,3
925,0,0,2
926,100,100,2
927,-4,-4,-4
928,200,0,2
929,200,0,3
930,100,0,1
931,100,0,2
932,0,0,3
933,-4,-4,-4
934,0,0,2
935,0,0,2
936,200,200,2
937,100,0,2
938,0,100,2
939,-4,-4,-4
940,200,0,3
941,-4,-4,-4
942,300,0,2
943,0,0,2
944,-4,-4,-4
945,-4,-4,-4
946,-4,-4,-4
947,-4,-4,-4
948,100,0,1
949,-4,-4,-4
950,0,0,2
951,-4,-4,-4
952,100,125,2
953,0,100,2
954,-4,-4,-4
955,100,0,3
956,0,100,2
957,100,0,2
958,-4,-4,-4
959,200,0,2
960,-4,-4,-4
961,100,0,2
962,-4,-4,-4
963,100,100,3
964,200,0,3
965,0,0,2
966,0,0,2
967,0,0,2
968,-4,-4,-4
969,0,0,2
970,500,0,2
971,0,0,-4
972,300,0,2
973,200,0,3
974,100,0,2
975,-4,-4,-4
976,-4,-4,-4
977,200,0,2
978,-4,-4,-4
979,100,0,3
980,200,0,3
981,-4,-4,-4
982,100,100,3
983,0,0,2
984,-4,-4,-4
985,-4,-4,-4
986,-4,-4,-4
987,300,0,1
988,100,0,3
989,0,0,2
990,-4,-4,-4
991,-4,-4,-4
992,0,0,2
993,-4,-4,-4
994,0,0,2
995,-4,-4,-4
996,-4,-4,-4
997,-4,-4,-4
998,300,200,1
999,900,400,1
1000,-4,-4,-4
1001,-4,-4,1
1002,-4,-4,1
1003,-4,-4,-4
1004,-4,-4,2
1005,400,200,1
1006,600,100,1
1007,300,0,2
1008,-4,-4,-4
1009,400,0,2
1010,-4,-4,3
1011,-4,-4,-4
1012,100,0,1
1013,100,0,2
1014,200,0,2
1015,0,0,2
1016,-4,-4,-4
1017,100,0,2
1018,100,0,2
1019,0,0,2
1020,-4,-4,-4
1021,100,100,3
1022,-4,-4,-4
1023,100,100,3
1024,-4,-4,-4
1025,-4,-4,-4
1026,-4,-4,-4
